order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id
90a0c698629f47fca8164e158d089517,9f6661ae61b5a699dd702a84054d4dbc,delivered,2017-05-28 13:33:35,2017-05-30 05:20:15,2017-05-31 03:13:05,2017-06-12 09:37:28,2017-07-27 00:00:00,651943e7bd840e8397d4c46dfe484f8b
3b87501b004a28e5fae58597d0e021f5,e74ec7a00638b04285810ab01eaaaa53,delivered,2018-07-11 13:36:57,2018-07-11 14:06:16,2018-07-13 19:44:00,2018-07-14 17:32:21,2018-07-23 00:00:00,38849f9ea768be98e705c65e8beadfdf
6893c7e3a051e9d94a2bed6777355f2d,a560c4900787eeb530847c4006739499,delivered,2018-02-14 21:29:43,2018-02-14 21:48:02,2018-02-16 00:09:23,2018-02-21 19:32:46,2018-02-22 00:00:00,3a10313a6428bd4c25cb17bf269c52b4
3d7d095c15be6f2b4618459d23e072cd,6220c0665e1834766a50a791808409c4,delivered,2017-04-26 14:18:33,2017-04-26 14:30:18,2017-04-27 17:18:19,2017-05-04 12:15:27,2017-05-24 00:00:00,c8a76342b80beb2d406f45d0cf720c1d
7c704545f1306e9cff9216e6f34d5111,c009474292c8ed7544d52b57f352da94,delivered,2018-06-25 02:18:31,2018-06-25 02:37:07,2018-06-26 14:19:00,2018-07-03 17:41:57,2018-07-19 00:00:00,9e5dba14616edd353e3e344705daebbc
fbb3296cbee389d9961a820220eb62a3,9dc80a62589e4f4f71f88cb98a4836bd,delivered,2017-08-28 15:30:27,2017-08-28 15:45:39,2017-09-01 18:06:02,2017-09-08 18:02:52,2017-09-18 00:00:00,b7d8524e14913b79fe082a5fc2efffd7
4ffc1b827a6dd12870115ee85e68945c,2a879e93dbeca9d0ed0c16c960f3cdd8,delivered,2017-12-05 01:57:56,2017-12-05 10:05:07,2017-12-06 19:47:31,2017-12-15 23:16:37,2018-01-05 00:00:00,e052a89aa5090f462dc18dd99d232013
388b2569708a53d1d960db2579b1b2ab,d0dc9ac54813401181711c920b8b5a52,delivered,2017-10-03 13:21:24,2017-10-04 03:04:09,2017-10-06 22:23:36,2017-10-16 19:46:40,2017-10-30 00:00:00,20606c268ad389d2e688b4fb50ec1234
8057ce8ffded1481446ada68f97941d6,2efa8d107eb5b62a6506419325b8fc28,delivered,2017-07-05 08:48:20,2017-07-06 08:55:11,2017-07-13 20:47:34,2017-07-19 17:06:26,2017-08-02 00:00:00,4ed27c4720bb91443256a9f03bca14c1
661620f1b2ab6bd136e9566f2188c215,4538c8f9c63d958a52a1e982c821a98f,delivered,2018-02-07 12:48:44,2018-02-08 07:49:34,2018-02-09 11:49:04,2018-02-14 19:12:57,2018-02-23 00:00:00,64f30e1dd309856d47cba0089a338ddf
